feature,coefficient,odds_ratio
categorical__program_code_1_CT_APPD,-0.03942730336507113,0.9613398376216332
categorical__education_goal_Maintain License/Cert.,-0.040813406340576085,0.9600082446878953
categorical__program_description_Radiologic Tech: Diagnostic,-0.04321159912172929,0.957708718301538
categorical__program_code_1_AS_RADT,-0.04321159912172929,0.957708718301538
categorical__program_code_1_CN_FNDS,-0.04389262715483158,0.9570567138586797
categorical__program_description_Dietetic Serv Sup/Dietary Mgr,-0.04389262715483158,0.9570567138586797
categorical__program_code_1_CT_DMAN,-0.04747750238274551,0.9536319273373941
categorical__program_description_Biology,-0.04759725254118999,0.9535177366003136
categorical__program_code_1_AS_MACE,-0.04803310091922829,0.9531022379951596
categorical__ipeds_ethnicity_Multiple,-0.049762543603418766,0.9514553268320933
categorical__program_code_1_AS_MRSC,-0.05124143054812989,0.9500492719251542
categorical__program_description_Marine Science,-0.05124143054812989,0.9500492719251542
categorical__program_code_1_CN_ARCD,-0.052492036926311034,0.9488618768827637
categorical__program_description_Drone Videography,-0.053054647441120234,0.9483281873574746
categorical__program_code_1_CM_DRNV,-0.053054647441120234,0.9483281873574746
categorical__program_code_1_CT_MGMT,-0.054894120794958944,0.9465853663539611
categorical__program_code_1_AA_MIDI,-0.05621965338084592,0.9453314678308065
categorical__program_code_1_CE_MKSL,-0.05698692049852527,0.9446064242668445
categorical__program_description_Marketing: Sales,-0.05698692049852527,0.9446064242668445
categorical__program_code_1_AS_MTTL,-0.06201448713155149,0.9398692706826944
categorical__program_description_Manufacturing Tech: Tooling,-0.06201448713155149,0.9398692706826944
categorical__program_code_1_CT_ECPT,-0.06258260775819142,0.9393354632115497
categorical__age_category_19 or less,-0.06546030306660044,0.9366362276075871
categorical__program_code_1_AA_MSGP,-0.06587025500201715,0.9362523304683621
categorical__program_description_Music: Studio Guitar Performer,-0.06587025500201715,0.9362523304683621
categorical__education_goal_Bachelor's Degree or higher,-0.06775530152869519,0.9344891136596969
categorical__ipeds_ethnicity_American Indian Native Alaskan,-0.0684613081873945,0.9338295909640731
categorical__ethnicity_detail_American Indian Native Alaskan,-0.0684613081873945,0.9338295909640731
categorical__ethnicity_detail_Pacific Islander,-0.0686237846623147,0.9336778779491888
categorical__program_code_1_AS_APPD,-0.07068545394318168,0.9317549258767265
categorical__program_code_1_AAT_MUS,-0.07583269562239989,0.9269712799398363
categorical__program_code_1_AA_ANTH,-0.07972831532751652,0.9233671770207444
categorical__program_code_1_CE_MTCO,-0.08065731393295549,0.9225097685282957
categorical__program_description_CNC Operator,-0.08065731393295549,0.9225097685282957
numeric__foster_youth,-0.08289253316724836,0.9204500597577492
